angle,count
0,2417
0.0175508,2154
0.0351016,1964
0.0526524,2088
0.0702032,2039
0.087754,2179
0.105305,2159
0.122856,2203
0.140406,2233
0.157957,2478
0.175508,2230
0.193059,1955
0.21061,1962
0.22816,1875
0.245711,1793
0.263262,1730
0.280813,1743
0.298364,1662
0.315914,1599
0.333465,1576
0.351016,9016
0.368567,21056
0.386118,23395
0.403668,25877
0.421219,27319
0.43877,29399
0.456321,31188
0.473872,33076
0.491422,36696
0.508973,41061
0.526524,40274
0.544075,39179
0.561626,40361
0.579176,41014
0.596727,41536
0.614278,42309
0.631829,42641
0.649379,43648
0.66693,44284
0.684481,45072
0.702032,45924
0.719583,33329
0.737133,30586
0.754684,30785
0.772235,30617
0.789786,30594
0.807337,30695
0.824887,30418
0.842438,30080
0.859989,29935
0.87754,29552
0.895091,29422
0.912641,29510
0.930192,30229
0.947743,30598
0.965294,29981
0.982845,29488
1.0004,29402
1.01795,28683
1.0355,28594
1.05305,27757
1.0706,27275
1.08815,26582
1.1057,26044
1.12325,25194
1.1408,24816
1.15835,24086
1.1759,23602
1.19345,27727
1.211,73552
1.22856,68806
1.24611,65104
1.26366,61062
1.28121,56725
1.29876,51988
1.31631,48230
1.33386,44326
1.35141,39790
1.36896,36130
1.38651,20122
1.40406,16156
1.42161,16162
1.43917,15517
1.45672,15438
1.47427,14917
1.49182,14971
1.50937,14803
1.52692,14420
1.54447,14673
1.56202,14814
1.57957,13895
1.59712,13152
1.61467,12731
1.63222,12353
1.64977,11636
1.66733,11436
1.68488,11062
1.70243,10738
1.71998,10443
1.73753,10358
1.75508,10183
1.77263,9910
1.79018,9796
1.80773,9606
1.82528,9521
1.84283,9110
1.86038,8918
1.87794,8685
1.89549,8445
1.91304,8040
1.93059,6809
1.94814,6574
1.96569,6154
1.98324,5720
2.00079,5458
2.01834,4990
2.03589,4736
2.05344,4368
2.07099,4083
2.08854,3861
2.1061,3631
2.12365,3376
2.1412,3072
2.15875,2906
2.1763,2602
2.19385,2301
2.2114,2111
2.22895,1893
2.2465,1714
2.26405,1468
2.2816,1302
2.29915,1137
2.31671,1054
2.33426,930
2.35181,814
2.36936,676
2.38691,549
2.40446,465
2.42201,443
2.43956,490
2.45711,419
2.47466,428
2.49221,437
2.50976,437
2.52731,418
2.54487,419
2.56242,410
2.57997,453
2.59752,380
2.61507,456
2.63262,432
2.65017,459
2.66772,487
2.68527,464
2.70282,467
2.72037,426
2.73792,448
2.75548,440
2.77303,561
2.79058,554
2.80813,558
2.82568,541
2.84323,504
2.86078,520
2.87833,509
2.89588,469
2.91343,426
2.93098,426
2.94853,448
2.96608,440
2.98364,414
3.00119,453
3.01874,390
3.03629,396
3.05384,396
3.07139,369
3.08894,414
3.10649,387
3.12404,422
3.14159,0
