angle,count
0,24894
0.0175508,19248
0.0351016,16161
0.0526524,13961
0.0702032,12837
0.087754,11908
0.105305,11382
0.122856,10739
0.140406,10153
0.157957,9711
0.175508,9338
0.193059,8909
0.21061,8666
0.22816,8307
0.245711,8050
0.263262,7686
0.280813,7456
0.298364,7187
0.315914,6908
0.333465,6389
0.351016,6377
0.368567,6411
0.386118,5918
0.403668,5936
0.421219,5622
0.43877,5607
0.456321,5345
0.473872,5121
0.491422,5058
0.508973,4918
0.526524,4720
0.544075,4594
0.561626,4539
0.579176,4319
0.596727,4284
0.614278,4260
0.631829,4123
0.649379,4044
0.66693,3879
0.684481,3911
0.702032,3819
0.719583,3723
0.737133,3684
0.754684,3620
0.772235,3577
0.789786,3539
0.807337,3297
0.824887,3320
0.842438,3209
0.859989,3358
0.87754,3183
0.895091,3096
0.912641,3068
0.930192,3035
0.947743,3083
0.965294,3017
0.982845,2926
1.0004,2950
1.01795,2796
1.0355,2886
1.05305,2825
1.0706,2732
1.08815,2752
1.1057,2716
1.12325,2733
1.1408,2711
1.15835,2675
1.1759,2685
1.19345,2592
1.211,2603
1.22856,2621
1.24611,2590
1.26366,2482
1.28121,2589
1.29876,2488
1.31631,2571
1.33386,2475
1.35141,2452
1.36896,2439
1.38651,2443
1.40406,2407
1.42161,2427
1.43917,2456
1.45672,2431
1.47427,2388
1.49182,2525
1.50937,2394
1.52692,2410
1.54447,2375
1.56202,2498
1.57957,2463
1.59712,2405
1.61467,2353
1.63222,2311
1.64977,2429
1.66733,2493
1.68488,2337
1.70243,2477
1.71998,2360
1.73753,2423
1.75508,2346
1.77263,2384
1.79018,2317
1.80773,2433
1.82528,2344
1.84283,2393
1.86038,2359
1.87794,2435
1.89549,2402
1.91304,2370
1.93059,2334
1.94814,2503
1.96569,2434
1.98324,2438
2.00079,2367
2.01834,2358
2.03589,2411
2.05344,2372
2.07099,2408
2.08854,2414
2.1061,2326
2.12365,2379
2.1412,2542
2.15875,2434
2.1763,2484
2.19385,2403
2.2114,2481
2.22895,2452
2.2465,2521
2.26405,2464
2.2816,2465
2.29915,2516
2.31671,2533
2.33426,2456
2.35181,2541
2.36936,2572
2.38691,2493
2.40446,2538
2.42201,2549
2.43956,2532
2.45711,2374
2.47466,2480
2.49221,2432
2.50976,2486
2.52731,2470
2.54487,2495
2.56242,2541
2.57997,2561
2.59752,2509
2.61507,2414
2.63262,2358
2.65017,2434
2.66772,2511
2.68527,2423
2.70282,2398
2.72037,2397
2.73792,2321
2.75548,2329
2.77303,2337
2.79058,2129
2.80813,2278
2.82568,2151
2.84323,2133
2.86078,2063
2.87833,2006
2.89588,1797
2.91343,1746
2.93098,1742
2.94853,1604
2.96608,1485
2.98364,1391
3.00119,1216
3.01874,1114
3.03629,1015
3.05384,842
3.07139,664
3.08894,508
3.10649,252
3.12404,118
3.14159,0
