graph,epsilon,stored node count,stored edge count,face count,node count,edge count
aegaeis-ref,8,551588,2594196,864732,6805663,77641302
aegaeis-ref,4,551588,2594196,864732,8548449,137001445
aegaeis-ref,2,551588,2594196,864732,11256913,328361469
aegaeis-ref,1,551588,2594196,864732,16368545,1123428993
aegaeis-ref,1/2,551588,2594196,864732,34092941,5547404923
aegaeis-ref,1/4,551588,2594196,864732,75339741,28084996930
aegaeis-ref,1/8,551588,2594196,864732,170928534,141827133793
aegaeis-ref,1/16,551588,2594196,864732,389045761,707147788019
aegaeis-ref,1/32,551588,2594196,864732,880116794,3470658815376
aegaeis-ref,1/64,551588,2594196,864732,1972993164,13401847839588
aegaeis-ref,1/128,551588,2594196,864732,4058249786,30534668944470
aegaeis-ref,1/256,551588,2594196,864732,8523298131,111364348162739
pata-ref,4,2303943,5816450,3543559,34124509,473565508
pata-ref,2,2303943,5816450,3543559,43723835,942165053
pata-ref,1,2303943,5816450,3543559,61233954,2676216330
pata-ref,1/2,2303943,5816450,3543559,126050677,12647163844
pata-ref,1/4,2303943,5816450,3543559,277454111,63213544427
pata-ref,1/8,2303943,5816450,3543559,630361413,319960637212
pata-ref,1/16,2303943,5816450,3543559,1439182781,1608387489791
pata-ref,1/32,2303943,5816450,3543559,3267059078,7972837623738
pata-ref,1/64,2303943,5816450,3543559,7347519372,34977761462090
pata-ref,1/128,2303943,5816450,3543559,15729771594,98218035598262
pata-ref,1/256,2303943,5816450,3543559,33863294652,402591293590471
medi-ref,4,826150,2091254,1291659,12742495,200997379
medi-ref,2,826150,2091254,1291659,16725248,473191727
medi-ref,1,826150,2091254,1291659,24235843,1595988332
medi-ref,1/2,826150,2091254,1291659,50411056,7854237825
medi-ref,1/4,826150,2091254,1291659,111354135,39722719570
medi-ref,1/8,826150,2091254,1291659,252664236,200609072947
medi-ref,1/16,826150,2091254,1291659,575243412,1000728263595
medi-ref,1/32,826150,2091254,1291659,1301756802,4914629421345
medi-ref,1/64,826150,2091254,1291659,2919116334,19200824193845
medi-ref,1/128,826150,2091254,1291659,6030604941,44554180760986
medi-ref,1/256,826150,2091254,1291659,12708018129,164546744097748
