graph,epsilon,stored node count,stored edge count,stored boundary edge count,face count,nodecount,edgecount
aegaeis10-ref,8,529765,1411735,202637,873611,10706403,199344404
aegaeis10-ref,4,529765,1411735,202637,873611,17974812,549704521
aegaeis10-ref,2,529765,1411735,202637,873611,34478700,2003550125
aegaeis10-ref,1,529765,1411735,202637,873611,70141044,8224982998
aegaeis10-ref,0.5,529765,1411735,202637,873611,149650982,37046488421
aegaeis10-ref,0.25,529765,1411735,202637,873611,326544345,174411398601
aegaeis10-ref,0.125,529765,1411735,202637,873611,716436702,830558359030
aegaeis10-ref,0.0625,529765,1411735,202637,873611,1570372117,3953919508228
aegaeis10-ref,0.03125,529765,1411735,202637,873611,3426256407,18673263880767
aegaeis10-ref,0.015625,529765,1411735,202637,873611,7437164377,87401543218272
aegaeis10-ref,0.0078125,529765,1411735,202637,873611,16056031359,405081607469998
aegaeis10-ref,0.00390625,529765,1411735,202637,873611,30439670056,1088709583085366
aegaeis10-ref,0.00195312,529765,1411735,202637,873611,36524150561,1019399040983008
aegaeis10-unref,8,202362,429568,202511,218875,4298635,100900207
aegaeis10-unref,4,202362,429568,202511,218875,7298866,287119029
aegaeis10-unref,2,202362,429568,202511,218875,14123693,1066111961
aegaeis10-unref,1,202362,429568,202511,218875,28655336,4377689648
aegaeis10-unref,0.5,202362,429568,202511,218875,60439649,19361823819
aegaeis10-unref,0.25,202362,429568,202511,218875,130090894,89005937382
aegaeis10-unref,0.125,202362,429568,202511,218875,281481562,413339474577
aegaeis10-unref,0.0625,202362,429568,202511,218875,609404356,1923281528782
aegaeis10-unref,0.03125,202362,429568,202511,218875,1314823427,8893629098353
aegaeis10-unref,0.015625,202362,429568,202511,218875,2826453559,40860802982555
aegaeis10-unref,0.0078125,202362,429568,202511,218875,6050245186,186276887174721
aegaeis10-unref,0.00390625,202362,429568,202511,218875,9256289297,264828357263591
aegaeis10-unref,0.00195312,202362,429568,202511,218875,10286717659,302167216163504
